Job Title,Question
JavaScript Developer,"Describe a complex UI you built in JavaScript—how did you manage state, performance, and accessibility?"
JavaScript Developer,"How do you organize and maintain a large JavaScript codebase (linting, formatting, modularization)?"
JavaScript Developer,"What is your experience with API integration, authentication, and error handling on the client side?"
JavaScript Developer,"How do you test JavaScript applications (unit, integration, e2e), and which tools have you used?"
JavaScript Developer,Why do you want to apply to this position?
JavaScript Developer,Why are you interested in joining our company?
Machine Learning,"What is your experience in machine learning (projects, models, and the business problems you solved)?"
Machine Learning,"Which ML frameworks and tools (e.g., scikit-learn, PyTorch, TensorFlow) are you most comfortable with?"
Machine Learning,"How do you evaluate model performance and handle issues like overfitting, data leakage, or class imbalance?"
Machine Learning,Describe a time you deployed an ML model to production—how did you monitor and iterate on it?
Machine Learning,How do you approach data preprocessing and feature engineering for real-world datasets?
Machine Learning,Why do you want to apply to this position?
Machine Learning,Why are you interested in joining our company?
Network Administrator,"What types of networks have you managed (size, topology), and what were your main responsibilities?"
Network Administrator,How do you troubleshoot network connectivity issues—what tools and steps do you use?
Network Administrator,"Describe your experience with firewalls, VLANs, routing, and switching in production environments."
Network Administrator,"What is your approach to network security (access controls, monitoring, patching, incident response)?"
Network Administrator,How do you document and maintain network configurations to support reliability and audits?
Network Administrator,Why do you want to apply to this position?
Network Administrator,Why are you interested in joining our company?
Node js developer,"What Node.js frameworks (e.g., Express, NestJS) have you used, and what have you built with them?"
Node js developer,"Describe a Node.js API or service you developed—how did you handle validation, errors, and logging?"
Node js developer,"How do you manage asynchronous flows in Node.js (promises, async/await, queues), and avoid common pitfalls?"
Node js developer,"What is your experience with databases in Node.js (ORMs, query builders, performance tuning)?"
Node js developer,"How do you ensure a Node.js application is production-ready (tests, monitoring, security, deployments)?"
Node js developer,Why do you want to apply to this position?
Node js developer,Why are you interested in joining our company?
PHP Developer,"What PHP frameworks (e.g., Laravel, Symfony) have you used, and what kinds of applications did you build?"
PHP Developer,Describe a PHP project you worked on—what was the most challenging part and how did you address it?
PHP Developer,"How do you structure PHP code for maintainability (architecture, SOLID principles, dependency management)?"
PHP Developer,What is your experience with database design and query optimization in PHP applications?
PHP Developer,"How do you handle security in PHP apps (validation, authentication, preventing SQL injection/XSS)?"
PHP Developer,Why do you want to apply to this position?
PHP Developer,Why are you interested in joining our company?
Software Engineer,"Why are you interested in this Software Engineer role, and what do you hope to accomplish here?"
Software Engineer,Describe a project you’re proud of—what was your contribution and what impact did it have?
Software Engineer,How do you approach debugging and root-cause analysis when a production issue occurs?
Software Engineer,"What practices do you follow to write maintainable code (testing, reviews, documentation)?"
Software Engineer,How do you collaborate with product/design/QA stakeholders to deliver features effectively?
Software Engineer,Why do you want to apply to this position?
Software Engineer,Why are you interested in joining our company?
Wordpress Developer,"What WordPress projects have you built (themes, plugins, custom blocks), and what was your role?"
Wordpress Developer,"How do you approach performance optimization in WordPress (caching, images, queries, hosting)?"
Wordpress Developer,Describe your experience with PHP and customizing WordPress beyond off-the-shelf plugins.
Wordpress Developer,"How do you handle security and updates in WordPress sites (hardening, backups, plugin management)?"
Wordpress Developer,"What is your experience integrating WordPress with third-party services (APIs, payments, CRM, analytics)?"
Wordpress Developer,Why do you want to apply to this position?
Wordpress Developer,Why are you interested in joining our company?
iOS Developer,"What iOS apps have you built, and which features/components did you own end-to-end?"
iOS Developer,"Which iOS technologies do you use most (Swift, SwiftUI, UIKit), and why?"
iOS Developer,Describe a challenging bug or performance issue you solved in an iOS app—how did you debug it?
iOS Developer,How do you structure iOS codebases (architecture patterns like MVVM/VIPER) for maintainability?
iOS Developer,"What is your experience with testing and releasing iOS apps (unit/UI tests, App Store process, CI/CD)?"
iOS Developer,Why do you want to apply to this position?
iOS Developer,Why are you interested in joining our company?
